date,AQI
2022-01-01,55.0
2022-01-02,48.333333333333336
2022-01-03,60.333333333333336
2022-01-04,70.66666666666667
2022-01-05,77.0
2022-01-06,69.33333333333333
2022-01-07,80.66666666666667
2022-01-08,68.0
2022-01-09,52.333333333333336
2022-01-10,49.0
2022-01-11,47.0
2022-01-12,53.666666666666664
2022-01-13,68.33333333333333
2022-01-14,60.0
2022-01-15,51.333333333333336
2022-01-16,44.666666666666664
2022-01-17,64.66666666666667
2022-01-18,52.666666666666664
2022-01-19,73.33333333333333
2022-01-20,52.333333333333336
2022-01-21,50.333333333333336
2022-01-22,17.333333333333332
2022-01-23,32.333333333333336
2022-01-24,54.666666666666664
2022-01-25,66.33333333333333
2022-01-26,51.333333333333336
2022-01-27,48.333333333333336
2022-01-28,48.0
2022-01-29,58.0
2022-01-30,56.333333333333336
2022-01-31,71.66666666666667
2022-02-01,72.0
2022-02-02,48.0
2022-02-03,41.333333333333336
2022-02-04,34.0
2022-02-05,47.666666666666664
2022-02-06,30.666666666666668
2022-02-07,52.0
2022-02-08,50.0
2022-02-09,38.0
2022-02-10,39.333333333333336
2022-02-11,52.333333333333336
2022-02-12,44.333333333333336
2022-02-13,52.0
2022-02-14,67.0
2022-02-15,50.333333333333336
2022-02-16,51.0
2022-02-17,38.333333333333336
2022-02-18,57.0
2022-02-19,53.666666666666664
2022-02-20,61.666666666666664
2022-02-21,50.0
2022-02-22,40.0
2022-02-23,32.666666666666664
2022-02-24,47.666666666666664
2022-02-25,55.333333333333336
2022-02-26,50.666666666666664
2022-02-27,46.0
2022-02-28,41.333333333333336
2022-03-01,53.0
2022-03-02,63.666666666666664
2022-03-03,66.66666666666667
2022-03-04,47.333333333333336
2022-03-05,46.333333333333336
2022-03-06,43.333333333333336
2022-03-07,43.666666666666664
2022-03-08,44.333333333333336
2022-03-09,53.0
2022-03-10,48.0
2022-03-11,42.5
2022-03-12,43.0
2022-03-13,49.5
2022-03-14,55.0
2022-03-15,61.0
